🎬 Class 01 || English || Para jumbles lec -1 || Aman sir : https://selectionwaylive.hranker.com/561/699c233d399756d4928754c6/playlist-mpl-vod.m3u8
🎬 Class 02 || English || Para jumbles lec -2 || Aman sir : https://selectionwaylive.hranker.com/561/699ebb80a2b1ae04330ccdb3/playlist-mpl-vod.m3u8
🎬 Class 03 || English || Para jumbles lec -3 || Aman sir : https://selectionwaylive.hranker.com/561/69a8e396a2b1ae04333cea9f/playlist-mpl-vod.m3u8
🎬 Class 04 || English || Para jumbles lec -4 || Aman sir : https://selectionwaylive.hranker.com/561/69ab1b83a2b1ae04334d6197/playlist-mpl-vod.m3u8
🎬 Class 05 || English || Para jumbles lec -5 || Aman sir : https://selectionwaylive.hranker.com/561/69adc957a2b1ae04336f75cb/playlist-mpl-vod.m3u8
🎬 Class 06 || English || Para jumbles lec -6 || Aman sir : https://selectionwaylive.hranker.com/561/69af6b81a2b1ae0433a817ec/playlist-mpl-vod.m3u8
🎬 Class 07 || English || Para jumbles lec -7 || Aman sir : https://selectionwaylive.hranker.com/561/69b307b09d14466cd0c0c541/playlist-mpl-vod.m3u8
🎬 Class 08 || English || Para jumbles lec -8 || Aman sir : https://selectionwaylive.hranker.com/561/69b4a9f39d14466cd0db652d/playlist-mpl-vod.m3u8
🎬 Class 09 | English | Cloze Test Lecture 1 | Aman Sir : https://selectionwaylive.hranker.com/561/69b75e859d14466cd0e7161f/playlist-mpl-vod.m3u8
🎬 Class 10 | English | Cloze Test Lecture 2 | Aman Sir : https://selectionwaylive.hranker.com/561/69b8aa7edbf4fa27cf77536f/playlist-mpl-vod.m3u8
🎬 Class 11 | English | Cloze Test Lecture 3 | Aman Sir : https://selectionwaylive.hranker.com/561/69b91b9cd3c61a31b729fbc3/playlist-mpl-vod.m3u8
🎬 Class 12 | English | Cloze Test Lecture 4 | Aman Sir : https://selectionwaylive.hranker.com/561/69bbc5c402b07cbc32f61fb5/playlist-mpl-vod.m3u8
🎬 Class 13 | English | Cloze Test Lecture 5 | Aman Sir : https://selectionwaylive.hranker.com/561/69bde2ea713c8e763d5bf521/playlist-mpl-vod.m3u8
🎬 Class 14 | English | Cloze Test Lecture 6 | Aman Sir : https://selectionwaylive.hranker.com/561/69c11be0951392adb8a92689/playlist-mpl-vod.m3u8
🎬 Class 15 | English | Cloze Test Lecture 7 | Aman Sir : https://selectionwaylive.hranker.com/561/69c3ac4020b6656683fb9abe/playlist-mpl-vod.m3u8
🎬 Class 16 | English | Cloze Test Lecture 8 | Aman Sir : https://selectionwaylive.hranker.com/561/69c5d0ae49ddc27679e21237/playlist-mpl-vod.m3u8
🎬 Class 17 | Reading comprehension  lec -1 | Aman sir : https://selectionwaylive.hranker.com/561/69c7375436c7cf7f6c952cb9/playlist-mpl-vod.m3u8
🎬 Class 18 | Reading comprehension  lec -2 | Aman sir : https://selectionwaylive.hranker.com/561/69c96b1566923638fcdb22b4/playlist-mpl-vod.m3u8
🎬 Class 19 | Reading comprehension lec -3 | Aman sir : https://selectionwaylive.hranker.com/561/69cb1c81c7f3b7e3fb7065ee/playlist-mpl-vod.m3u8
🎬 Class 20 | Reading comprehension lec -4 | Aman sir : https://selectionwayrecordedmp4.hranker.com/561/694a67d2b38db8674bef2099/hls/master.m3u8
🎬 Class 21 | Reading comprehension lec -5 | Aman sir : https://selectionwayrecordedmp4.hranker.com/561/694a6823b38db8674bf34ee1/hls/master.m3u8
🎬 Class 22 | Reading comprehension lec -6 | Aman sir : https://selectionwayrecordedmp4.hranker.com/561/694a6888b38db8674bf8392b/hls/master.m3u8
🎬 Class 23 | Reading comprehension lec -7 | Aman sir : https://selectionwayrecordedmp4.hranker.com/561/694a67a4b38db8674becd78a/hls/master.m3u8
🎬 Class 24 | Reading comprehension lec -8 | Aman sir : https://selectionwayrecordedmp4.hranker.com/561/69cb9a75c7f3b7e3fb7ff425/hls/master.m3u8
🎬 Class -01 | PQRS/CT/RC | By Aman Sir : https://selectionwayrecordedmp4.hranker.com/561/68ee65e70006a5a1fc5b14dd/hls/master.m3u8
🎬 Class -02 | PQRS/CT/RC | By Aman Sir : https://selectionwayrecordedmp4.hranker.com/561/68f108e7b7edd42fab962b80/hls/master.m3u8
🎬 Class -03 | PQRS/CT/RC | By Aman Sir : https://selectionwayrecordedmp4.hranker.com/561/68f331383cb385cafc8e83a6/hls/master.m3u8
🎬 Class -04 | PQRS/CT/RC | By Aman Sir : https://selectionwaylive.hranker.com/561/68fe424ebed68c50dd5b39ed/playlist-mpl-vod.m3u8
🎬 Class -05 | PQRS/CT/RC | By Aman Sir : https://selectionwayrecordedmp4.hranker.com/561/69107e4852b1cbb165978382/hls/master.m3u8
🎬 Class -06 | PQRS/CT/RC | By Aman Sir : https://selectionwaylive.hranker.com/561/690371cc50853877300a68bb/playlist-mpl-vod.m3u8
🎬 Class -07 | PQRS/CT/RC | By Aman Sir : https://selectionwayrecordedmp4.hranker.com/561/690a1fe46aeca24e9343479f/hls/master.m3u8
🎬 Class -08 | PQRS/CT/RC | By Aman Sir : https://selectionwayrecordedmp4.hranker.com/561/6911d2ab932c0deb70696583/hls/master.m3u8
🎬 Class -09 | PQRS/CT/RC | By Aman Sir : https://selectionwayrecordedmp4.hranker.com/561/691339d1932c0deb70b32aff/hls/master.m3u8
🎬 Class -10 | PQRS/CT/RC | By Aman Sir : https://selectionwaylive.hranker.com/561/69174803932c0deb70c57bcf/playlist-mpl-vod.m3u8
🎬 Class -11 | PQRS/CT/RC | By Aman Sir : https://selectionwayrecordedmp4.hranker.com/561/694a64adb38db8674bc9db5b/hls/master.m3u8
🎬 Class -12 | PQRS/CT/RC | By Aman Sir : https://selectionwayrecordedmp4.hranker.com/561/694a66f6b38db8674be4c934/hls/master.m3u8
🎬 Class -13 | PQRS/CT/RC | By Aman Sir : https://selectionwayrecordedmp4.hranker.com/561/694a6716b38db8674be6559e/hls/master.m3u8
🎬 Class -14 | PQRS/CT/RC | By Aman Sir : https://selectionwayrecordedmp4.hranker.com/561/694a673db38db8674be83302/hls/master.m3u8
🎬 Class -15 | PQRS/CT/RC | By Aman Sir : https://selectionwayrecordedmp4.hranker.com/561/694a6766b38db8674bea0365/hls/master.m3u8
🎬 Class -16 | PQRS/CT/RC | By Aman Sir : https://selectionwayrecordedmp4.hranker.com/561/694a6786b38db8674beb741e/hls/master.m3u8
🎬 Class -17 | PQRS/CT/RC | By Aman Sir : https://selectionwayrecordedmp4.hranker.com/561/694a67a4b38db8674becd78a/hls/master.m3u8
🎬 Class -18 | PQRS/CT/RC | By Aman Sir : https://selectionwayrecordedmp4.hranker.com/561/694a67d2b38db8674bef2099/hls/master.m3u8
🎬 Class -19 | PQRS/CT/RC | By Aman Sir : https://selectionwayrecordedmp4.hranker.com/561/694a6823b38db8674bf34ee1/hls/master.m3u8
🎬 Class -20 | PQRS/CT/RC | By Aman Sir : https://selectionwayrecordedmp4.hranker.com/561/694a6888b38db8674bf8392b/hls/master.m3u8
🎬 Class -21 | PQRS/CT/RC | By Aman Sir : https://selectionwaylive.hranker.com/561/69204c84dd258fd323b586b1/playlist-mpl-vod.m3u8
🎬 Class -22 | PQRS/CT/RC | By Aman Sir : https://selectionwaylive.hranker.com/561/69241952dd258fd3234eba59/playlist-mpl-vod.m3u8
🎬 Class -23 | PQRS/CT/RC | By Aman Sir : https://selectionwaylive.hranker.com/561/69260745dd258fd32302b919/playlist-mpl-vod.m3u8
🎬 Class -24 | PQRS/CT/RC | By Aman Sir : https://selectionwayrecordedmp4.hranker.com/561/69423f316385517afa4ac818/hls/master.m3u8
